date       ,server   ,slug                                                          ,item                                                   ,side ,price_min ,price_max ,price_weighted_mean    ,price_weighted_median  ,quantity_total ,pct_10                 ,pct_30                 ,pct_50                 ,pct_70                 ,pct_90
2025-10-19 ,devaloka ,clothinghead_cheft5                                           ,Chef Hat                                               ,buy  ,   137.01 ,   137.01 ,  137.01               ,  137.01               ,             1 ,  137.01               ,  137.01               ,  137.01               ,  137.01               ,  137.01
2025-10-19 ,devaloka ,clothinghead_engineert5                                       ,Engineer Hat                                           ,buy  ,  1500.0  ,  1501.05 , 1500.775              , 1501.02               ,             4 , 1500.0                , 1500.204              , 1501.02               , 1501.028              , 1501.042
2025-10-19 ,devaloka ,clothinghead_horticulturistt52                                ,Harvester Hat                                          ,buy  ,   100.01 ,   100.02 ,  100.015              ,  100.01               ,             2 ,  100.01               ,  100.01               ,  100.01               ,  100.014              ,  100.018
2025-10-19 ,devaloka ,clothinghead_jewelcraftingt5                                  ,Artisan Jewelcrafter's Hood                            ,buy  ,   100.01 ,   100.01 ,  100.01               ,  100.01               ,             1 ,  100.01               ,  100.01               ,  100.01               ,  100.01               ,  100.01
2025-10-19 ,devaloka ,clothinghead_lumberjackt52                                    ,Lumberjack Hat                                         ,buy  ,  1000.0  ,  2550.03 , 2162.5125             , 2550.0                ,             4 , 1000.0                , 1310.0                , 2550.0                , 2550.016              , 2550.0260000000003
2025-10-19 ,devaloka ,clothinghead_outfittert5                                      ,Armorer Hat                                            ,buy  ,  3008.0  ,  3008.02 , 3008.01               , 3008.005              ,             3 , 3008.0                , 3008.0                , 3008.005              , 3008.011              , 3008.0170000000003
2025-10-19 ,devaloka ,clothinghead_skinnert52                                       ,Skinner Hat                                            ,buy  ,   100.0  ,  1999.01 , 1035.34               ,  553.5050000000001    ,             3 ,  100.0                ,  100.0                ,  553.5050000000001    , 1106.21               , 1701.41
2025-10-19 ,devaloka ,clothinghead_smeltert5                                        ,Smelter's Headgear                                     ,buy  ,  1022.22 ,  2000.02 , 1755.5625             , 2000.0                ,             4 , 1022.22               , 1217.776              , 2000.0                , 2000.008              , 2000.016
2025-10-19 ,devaloka ,clothinghead_weavert5                                         ,Weaver's Hat                                           ,buy  ,   100.01 ,  1011.11 ,  780.7825             , 1006.0                ,             4 ,  100.01               ,  281.208              , 1006.0                , 1006.008              , 1009.07
2025-10-19 ,devaloka ,clothinglegs_alchemistt4                                      ,Arcanist Pants                                         ,buy  ,   500.0  ,   500.0  ,  500.0                ,  500.0                ,             1 ,  500.0                ,  500.0                ,  500.0                ,  500.0                ,  500.0
2025-10-19 ,devaloka ,clothinglegs_blacksmitht5                                     ,Weaponsmith Pants                                      ,buy  ,   300.0  ,   337.01 ,  318.505              ,  300.0                ,             2 ,  300.0                ,  300.0                ,  300.0                ,  314.804              ,  329.608
2025-10-19 ,devaloka ,clothinglegs_fishingt5                                        ,Vengeful Fisherman's Pants                             ,buy  ,   100.01 ,   100.01 ,  100.01               ,  100.01               ,             1 ,  100.01               ,  100.01               ,  100.01               ,  100.01               ,  100.01
2025-10-19 ,devaloka ,clothinglegs_horticulturistt52                                ,Harvester Pants                                        ,buy  ,  1500.0  ,  1500.05 , 1500.025              , 1500.0                ,             2 , 1500.0                , 1500.0                , 1500.0                , 1500.02               , 1500.04
2025-10-19 ,devaloka ,clothinglegs_jewelcraftingt5                                  ,Artisan Jewelcrafter's Pants                           ,buy  ,   100.01 ,   100.01 ,  100.01               ,  100.01               ,             1 ,  100.01               ,  100.01               ,  100.01               ,  100.01               ,  100.01
2025-10-19 ,devaloka ,clothinglegs_lumberjackt52                                    ,Lumberjack Pants                                       ,buy  ,  1000.0  ,  1500.05 , 1166.7                , 1000.025              ,             3 , 1000.0                , 1000.0                , 1000.025              , 1050.05               , 1350.05
2025-10-19 ,devaloka ,clothinglegs_outfittert5                                      ,Armorer Pants                                          ,buy  ,  1100.0  ,  1100.03 , 1100.0166666666669    , 1100.01               ,             3 , 1100.0                , 1100.0                , 1100.01               , 1100.021              , 1100.027
2025-10-19 ,devaloka ,clothinglegs_skinnert3                                        ,Skinner Pants                                          ,buy  ,   100.0  ,   100.0  ,  100.0                ,  100.0                ,             1 ,  100.0                ,  100.0                ,  100.0                ,  100.0                ,  100.0
2025-10-19 ,devaloka ,clothinglegs_skinnert52                                       ,Skinner Pants                                          ,buy  ,   100.0  ,  1999.01 ,  801.5050000000001    ,  100.0                ,             4 ,  100.0                ,  100.0                ,  100.0                ,  825.6079999999998    , 1602.21
2025-10-19 ,devaloka ,clothinglegs_smeltert5                                        ,Smelter's Pants                                        ,buy  ,  1200.02 ,  1500.0  , 1300.0166666666669    , 1200.025              ,             3 , 1200.02               , 1200.02               , 1200.025              , 1230.027              , 1410.009
2025-10-19 ,devaloka ,clothinglegs_weavert5                                         ,Weaver's Pants                                         ,buy  ,     0.01 ,  1011.11 ,  807.05               , 1008.035              ,             5 ,    0.01               ,  504.0149999999998    , 1008.035              , 1008.055              , 1009.585
2025-10-19 ,devaloka ,clothinglegs_woodworkert5                                     ,Woodworker's Pants                                     ,buy  ,  1007.01 ,  1007.02 , 1007.015              , 1007.01               ,             2 , 1007.01               , 1007.01               , 1007.01               , 1007.014              , 1007.018
2025-10-19 ,devaloka ,clotht2                                                       ,Linen                                                  ,buy  ,     0.01 ,     0.65 ,    0.6108277064794527 ,    0.62               ,         22363 ,    0.3097134279475982 ,    0.62               ,    0.62               ,    0.6440417625780993 ,    0.65
2025-10-19 ,devaloka ,clotht3                                                       ,Sateen                                                 ,buy  ,     0.01 ,     2.0  ,    0.90485277391634   ,    0.8657663029687896 ,         23739 ,    0.7044848851269649 ,    0.7691009708737864 ,    0.8657663029687896 ,    0.9190646908859146 ,    0.9453236723672368
2025-10-19 ,devaloka ,clotht4                                                       ,Silk                                                   ,buy  ,     0.01 ,     3.63 ,    1.5752411297726412 ,    0.01               ,         18517 ,    0.01               ,    0.01               ,    0.01               ,    3.1474796380090497 ,    3.605945990180033
2025-10-19 ,devaloka ,clotht5                                                       ,Infused Silk                                           ,buy  ,     0.01 ,     6.13 ,    4.146342968830367  ,    2.507401           ,         19442 ,    0.01               ,    0.3726694          ,    2.507401           ,    4.642132599999999  ,    6.110107929515419
2025-10-19 ,devaloka ,clotht51                                                      ,Phoenixweave                                           ,buy  ,    21.1  ,    25.05 ,   21.764563682575545  ,   21.1                ,          3541 ,   21.1                ,   21.1                ,   21.1                ,   21.526010548523207  ,   21.97921870604782
2025-10-19 ,devaloka ,clotht52                                                      ,Spinweave Cloth                                        ,buy  ,     0.01 ,    21.55 ,    6.020131947687996  ,    0.01               ,         17128 ,    0.01               ,    0.01               ,    0.01               ,    0.01               ,   21.35402
2025-10-19 ,devaloka ,clotht53                                                      ,Prismatic Cloth                                        ,buy  ,     0.01 ,   140.0  ,   20.58715933720198   ,    0.01               ,         14303 ,    0.01               ,    0.01               ,    0.01               ,    0.01               ,  121.0003582375479
2025-10-19 ,devaloka ,clothweavet5                                                  ,Wireweave                                              ,buy  ,     0.01 ,     0.11 ,    0.0586926756870118 ,    0.0531755          ,        340933 ,    0.01               ,    0.05               ,    0.0531755          ,    0.08               ,    0.0951514367816092
2025-10-19 ,devaloka ,coatingaeterniant5                                            ,Infused Human Coating                                  ,buy  ,     2.0  ,     2.0  ,    2.0                ,    2.0                ,            60 ,    2.0                ,    2.0                ,    2.0                ,    2.0                ,    2.0
2025-10-19 ,devaloka ,coatingangryeartht5                                           ,Infused Angry Earth Coating                            ,buy  ,     1.5  ,     1.5  ,    1.5                ,    1.5                ,           166 ,    1.5                ,    1.5                ,    1.5                ,    1.5                ,    1.5
2025-10-19 ,devaloka ,coconutt1                                                     ,Coconut                                                ,buy  ,     1.59 ,     1.65 ,    1.6031906614785991 ,    1.59               ,          1028 ,    1.59               ,    1.59               ,    1.59               ,    1.59               ,    1.62270796460177
2025-10-19 ,devaloka ,codeyet1                                                      ,Cod Eye                                                ,buy  ,     5.0  ,     6.02 ,    5.595134999999999  ,    5.646840148698885  ,          2000 ,    5.0                ,    5.0                ,    5.646840148698885  ,    6.01168975069252   ,    6.017229916897507
2025-10-19 ,devaloka ,cookingoilt1                                                  ,Cooking Oil                                            ,buy  ,     0.06 ,     0.09 ,    0.0758708357685564 ,    0.0675             ,          3422 ,    0.06               ,    0.0617583892617449 ,    0.0675             ,    0.073241610738255  ,    0.07898322147651
2025-10-19 ,devaloka ,corecrystallifet5                                             ,Life Crystal Core                                      ,buy  ,     5.0  ,     5.0  ,    5.0                ,    5.0                ,            42 ,    5.0                ,    5.0                ,    5.0                ,    5.0                ,    5.0
2025-10-19 ,devaloka ,cornt1                                                        ,Corn                                                   ,buy  ,     0.17 ,     0.17 ,    0.17               ,    0.17               ,           785 ,    0.17               ,    0.17               ,    0.17               ,    0.17               ,    0.17
2025-10-19 ,devaloka ,corruptedclotht3                                              ,Bolt of Corrupted Cloth                                ,buy  ,    15.0  ,    15.0  ,   15.0                ,   15.0                ,             6 ,   15.0                ,   15.0                ,   15.0                ,   15.0                ,   15.0
2025-10-19 ,devaloka ,corruptedessencet1                                            ,Drop of Corrupted Essence                              ,buy  ,    15.0  ,    15.0  ,   15.0                ,   15.0                ,            13 ,   15.0                ,   15.0                ,   15.0                ,   15.0                ,   15.0
2025-10-19 ,devaloka ,corruptedichort3                                              ,Draught of Corrupted Ichor                             ,buy  ,    12.0  ,    12.0  ,   12.0                ,   12.0                ,            85 ,   12.0                ,   12.0                ,   12.0                ,   12.0                ,   12.0
2025-10-19 ,devaloka ,corruptedtalismant1                                           ,Corrupted Talisman                                     ,buy  ,     0.02 ,     0.02 ,    0.02               ,    0.02               ,         16919 ,    0.02               ,    0.02               ,    0.02               ,    0.02               ,    0.02
2025-10-19 ,devaloka ,corruptedtotemt1                                              ,Corrupted Totem                                        ,buy  , 16000.23 , 17509.0  ,17210.539999999997     ,17375.005              ,             6 ,16000.23               ,17000.054              ,17375.005              ,17500.8                ,17506.0
2025-10-19 ,devaloka ,cranberryt1                                                   ,Cranberry                                              ,buy  ,     0.02 ,     0.02 ,    0.02               ,    0.02               ,         17890 ,    0.02               ,    0.02               ,    0.02               ,    0.02               ,    0.02
2025-10-19 ,devaloka ,crestoffortitudet1                                            ,Crest of Fortitude                                     ,buy  ,     2.0  ,    20.0  ,    6.385786802030457  ,    2.0                ,           394 ,    2.0                ,    2.0                ,    2.0                ,    2.0                ,   12.6125
2025-10-19 ,devaloka ,crystalizedazotht2                                            ,Shard of Crystalized Azoth                             ,buy  ,    15.0  ,    15.01 ,   15.00351851851852   ,   15.0                ,            54 ,   15.0                ,   15.0                ,   15.0                ,   15.001473684210524  ,   15.007157894736842
2025-10-19 ,devaloka ,crystalizedazotht3                                            ,Chunk of Crystalized Azoth                             ,buy  ,     0.05 ,     0.05 ,    0.0499999999999999 ,    0.05               ,          1491 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,crystalizedsoul                                               ,Anima Quartz                                           ,buy  ,     0.1  ,    41.06 ,   10.81998952879581   ,    0.4046166666666666 ,          2865 ,    0.1                ,    0.2174366666666666 ,    0.4046166666666666 ,    0.679099999999998  ,   40.89383333333333
2025-10-19 ,devaloka ,crystalt3                                                     ,Chunk of Crystal                                       ,buy  ,     0.05 ,     0.05 ,    0.05               ,    0.05               ,          3666 ,    0.05               ,    0.05               ,    0.05               ,    0.05               ,    0.05
2025-10-19 ,devaloka ,diamondcutt4                                                  ,Cut Pristine Diamond                                   ,buy  ,    10.0  ,    60.0  ,   11.13553767993226   ,   10.0                ,          1181 ,   10.0                ,   10.0                ,   10.0                ,   10.0                ,   15.262
2025-10-19 ,devaloka ,diamondt1                                                     ,Flawed Diamond                                         ,buy  ,     0.26 ,     0.26 ,    0.26               ,    0.26               ,          3166 ,    0.26               ,    0.26               ,    0.26               ,    0.26               ,    0.26
2025-10-19 ,devaloka ,diamondt2                                                     ,Diamond                                                ,buy  ,     0.1  ,     0.1  ,    0.1                ,    0.1                ,           403 ,    0.1                ,    0.1                ,    0.1                ,    0.1                ,    0.1
2025-10-19 ,devaloka ,diamondt3                                                     ,Brilliant Diamond                                      ,buy  ,     2.51 ,     3.95 ,    3.66946683199008   ,    3.92808            ,          3226 ,    2.51               ,    3.921628           ,    3.92808            ,    3.934920738327905  ,    3.943548
2025-10-19 ,devaloka ,diamondt4                                                     ,Pristine Diamond                                       ,buy  ,    10.0  ,    17.1  ,   12.342575757575757  ,   10.0                ,          3300 ,   10.0                ,   10.0                ,   10.0                ,   14.036896551724135  ,   17.08111111111111
