timestamp            ,item                                                     ,slug                                                                 ,server   ,top_buy  ,low_sell  ,avg_price ,volume   ,source
2025-10-18T16:20:18Z ,Darkening Shirt                                          ,mediumchest_darknessbreacht4                                         ,devaloka ,         ,   650.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sophisticated Layered Silk Mask                          ,itempattern_femlacem_head_t5                                         ,devaloka ,         ,  2100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Pants                                    ,mediumlegs_ancient1t4                                                ,devaloka ,         ,   300.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Hat                                    ,mediumhead_undeadpistoleert3                                         ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Hat                                    ,mediumhead_undeadpistoleert5                                         ,devaloka ,         ,    26.0  ,          ,    13.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Tainted Pants                                            ,mediumlegs_angryearth2t5                                             ,devaloka ,         ,    50.0  ,          ,     8.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Coat                                      ,mediumchest_undeadofficert3                                          ,devaloka ,         ,    20.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Gloves                                  ,mediumhands_lost1t4                                                  ,devaloka ,         ,   699.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Gloves                                   ,mediumhands_ancient1t2                                               ,devaloka ,         ,    80.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Concocter's Gloves                                       ,mediumhands_alchemistvar3t5                                          ,devaloka ,         ,    49.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Coat                                    ,mediumchest_lost1t2                                                  ,devaloka ,         ,    89.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rescuer Pants                                            ,mediumlegs_rescuert4                                                 ,devaloka ,         ,    60.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Swashbuckler Pants                                       ,mediumlegs_undeadberserkert4                                         ,devaloka ,         ,   260.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Trapper Coat                                             ,mediumchest_furdropt5                                                ,devaloka ,         ,    50.0  ,          ,    12.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sorcerer Hunter Gauntlets                                ,mediumhands_sorchuntert5                                             ,devaloka ,         ,    30.0  ,          ,    11.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Coat                                      ,mediumchest_undeadofficert2                                          ,devaloka ,         ,    90.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Waterlogged Boots                                        ,mediumfeet_drownedelite1t3                                           ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sophisticated Layered Silk Boots                         ,itempattern_femlacem_feet_t5                                         ,devaloka ,         ,  2500.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Studded Leather Gloves                                   ,femstud_medhands_dropt2                                              ,devaloka ,         ,    50.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Engineer Pants                                           ,clothinglegs_engineert4                                              ,devaloka ,         ,    99.0  ,          ,    11.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Hat                                    ,mediumhead_undeadpistoleert2                                         ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Nightveil's Torment Medium Gloves                        ,mediumlegs_nightveil2025                                             ,devaloka ,         ,  5999.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Darkening Gloves                                         ,mediumhands_darknessbreacht4                                         ,devaloka ,         ,   699.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Archaic Coat                                             ,mediumchest_ancient2t4                                               ,devaloka ,         ,   699.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Gloves                                  ,mediumhands_lost1t3                                                  ,devaloka ,         ,    45.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Pants                                    ,mediumlegs_ancient1t5                                                ,devaloka ,         ,   700.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Gunslinger Coat                                   ,mediumchest_undeadpistoleert5                                        ,devaloka ,         ,    70.0  ,          ,     9.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Gloves                                  ,mediumhands_lost1t5                                                  ,devaloka ,         ,   400.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Blooming Mask of Earrach                                 ,mediumhead_spring_roae                                               ,devaloka ,         ,  4999.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sovereign Leather Pants                                  ,mediumlegs_leatherinfluencet5                                        ,devaloka ,         ,   400.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Profane Boots                                            ,mediumfeet_corrupted2t4                                              ,devaloka ,         ,    79.0  ,          ,     8.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Pants                                   ,mediumlegs_lost1t2                                                   ,devaloka ,         ,    98.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Gloves                                           ,mediumhands_leatherdropt5                                            ,devaloka ,         ,    20.0  ,          ,    11.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Archaic Gloves                                           ,mediumhands_ancient2t4                                               ,devaloka ,         ,    30.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Nightveil's Torment Medium Helm                          ,mediumhead_nightveil2025                                             ,devaloka ,         ,  5000.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forest Warden's Boots                                    ,femranger_medfeet_dropt4                                             ,devaloka ,         ,    69.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forest Warden's Pants                                    ,femranger_medlegs_dropt4                                             ,devaloka ,         ,   399.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Pirate Captain Gloves                                    ,mediumhands_undeadofficert5                                          ,devaloka ,         ,    25.0  ,          ,    13.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forgotten Gloves                                         ,mediumhands_lost2t5                                                  ,devaloka ,         ,   522.22 ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Engineer Shirt                                           ,clothingchest_engineert5                                             ,devaloka ,         , 11900.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Coat                                             ,mediumchest_slots3_craftt5                                           ,devaloka ,         ,  9500.0  ,          ,    16.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forgotten Gloves                                         ,mediumhands_lost2t4                                                  ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Infused Leather Gloves                                   ,mediumhands_leathert5                                                ,devaloka ,         ,   455.0  ,          ,    14.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Trapper Pants                                            ,mediumlegs_furdropt4                                                 ,devaloka ,         ,   100.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Boots                                   ,mediumfeet_lost1t3                                                   ,devaloka ,         ,    19.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Boots                                   ,mediumfeet_drowned1t2                                                ,devaloka ,         ,    22.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Swashbuckler Boots                                       ,mediumfeet_undeadberserkert2                                         ,devaloka ,         ,   100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Coat                                             ,mediumchest_leatherdropt5                                            ,devaloka ,         ,    29.0  ,          ,    13.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,mediumchest_voidbentt5                                   ,mediumchest_voidbentt5                                               ,devaloka ,         , 15100.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Brutish Leather Hat                                      ,mediumhead_leatherpvpdropt4                                          ,devaloka ,         ,   100.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Rugged Fur Coat                                          ,mediumchest_furt3                                                    ,devaloka ,         ,   100.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Hat                                      ,mediumhead_ancient1t3                                                ,devaloka ,         ,    30.0  ,          ,    10.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Defiled Leather Pants                                    ,mediumlegs_corrupted1t2                                              ,devaloka ,         ,    10.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Nightveil's Torment Medium Boots                         ,mediumfeet_nightveil2025                                             ,devaloka ,         ,  5999.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Corrupting Shirt                                         ,mediumchest_darknessbreacht3                                         ,devaloka ,         ,   249.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Ancient Leather Coat                                     ,mediumchest_ancient1t3                                               ,devaloka ,         ,    38.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Pants                                            ,mediumlegs_leatherdropt3                                             ,devaloka ,         ,    50.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sovereign Leather Hat                                    ,mediumhead_leatherinfluencet5                                        ,devaloka ,         ,   450.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Monstrum Shoes                                           ,mediumfeetbeastelitet5                                               ,devaloka ,         ,    50.0  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Coat                                    ,mediumchest_lost1t5                                                  ,devaloka ,         ,  2000.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forsaken Leather Boots                                   ,mediumfeet_drowned1t4                                                ,devaloka ,         ,   150.0  ,          ,     3.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Darkening Tights                                         ,mediumlegs_darknessbreacht4                                          ,devaloka ,         ,   699.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Sorcerer Hunter Pants                                    ,mediumlegs_sorchuntert4                                              ,devaloka ,         ,    87.9  ,          ,     6.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Swashbuckler Boots                                       ,mediumfeet_undeadberserkert4                                         ,devaloka ,         ,    70.0  ,          ,     5.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Replica Brutish Leather Pants                            ,mediumlegs_leatherpvpreplicat5                                       ,devaloka ,         ,  4999.0  ,          ,     4.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Daywear Chestpiece                                       ,femmedchest_dropt2                                                   ,devaloka ,         ,   100.0  ,          ,     2.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Corrupted Leather Boots                                  ,mediumfeet_corruptedelite1t4                                         ,devaloka ,         ,    69.0  ,          ,     9.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Forest Warden's Chestpiece                               ,femranger_medchest_dropt4                                            ,devaloka ,         ,   150.0  ,          ,     1.0 ,nwmp_snapshot
2025-10-18T16:20:18Z ,Leather Gloves                                           ,mediumhands_leatherdropt2                                            ,devaloka ,         ,    20.0  ,          ,     2.0 ,nwmp_snapshot
